Criterion,Depth,Threshold,Accuracy,Precision,Recall,Specificity,F1,AUC,Log-loss,Kappa,TN,FP,FN,TP
Gini,2,0.149,0.804,0.575,0.429,0.91,0.491,0.674,0.463,0.373,4253,420,758,569
Gini,3,0.368,0.804,0.575,0.429,0.91,0.491,0.72,0.452,0.373,4253,420,758,569
Gini,4,0.311,0.783,0.509,0.507,0.861,0.508,0.731,0.449,0.368,4023,650,654,673
Gini,5,0.218,0.745,0.444,0.607,0.784,0.513,0.746,0.445,0.345,3662,1011,521,806
Gini,6,0.218,0.764,0.473,0.58,0.816,0.521,0.755,0.444,0.367,3815,858,557,770
Gini,7,0.297,0.796,0.544,0.492,0.883,0.517,0.754,0.446,0.388,4125,548,674,653
Gini,8,0.309,0.779,0.501,0.561,0.841,0.529,0.759,0.446,0.385,3931,742,583,744
Gini,10,0.298,0.771,0.485,0.579,0.825,0.528,0.756,0.503,0.378,3857,816,559,768
Entropy,2,0.149,0.804,0.575,0.429,0.91,0.491,0.674,0.463,0.373,4253,420,758,569
Entropy,3,0.368,0.804,0.575,0.429,0.91,0.491,0.72,0.452,0.373,4253,420,758,569
Entropy,4,0.311,0.783,0.509,0.507,0.861,0.508,0.731,0.45,0.368,4023,650,654,673
Entropy,5,0.368,0.806,0.577,0.455,0.905,0.509,0.748,0.446,0.39,4231,442,723,604
Entropy,6,0.293,0.808,0.581,0.468,0.904,0.518,0.757,0.442,0.4,4225,448,706,621
Entropy,7,0.301,0.806,0.575,0.476,0.9,0.521,0.76,0.459,0.401,4206,467,695,632
Entropy,8,0.279,0.8,0.553,0.49,0.888,0.52,0.76,0.461,0.394,4148,525,677,650
Entropy,10,0.278,0.768,0.481,0.591,0.819,0.53,0.754,0.501,0.379,3827,846,543,784
Log-loss,2,0.149,0.804,0.575,0.429,0.91,0.491,0.674,0.463,0.373,4253,420,758,569
Log-loss,3,0.368,0.804,0.575,0.429,0.91,0.491,0.72,0.452,0.373,4253,420,758,569
Log-loss,4,0.311,0.783,0.509,0.507,0.861,0.508,0.731,0.45,0.368,4023,650,654,673
Log-loss,5,0.368,0.806,0.577,0.455,0.905,0.509,0.748,0.446,0.39,4231,442,723,604
Log-loss,6,0.293,0.808,0.581,0.468,0.904,0.518,0.757,0.442,0.4,4225,448,706,621
Log-loss,7,0.301,0.806,0.575,0.476,0.9,0.521,0.76,0.459,0.401,4206,467,695,632
Log-loss,8,0.279,0.8,0.553,0.49,0.888,0.52,0.76,0.461,0.394,4148,525,677,650
Log-loss,10,0.278,0.768,0.481,0.591,0.819,0.53,0.754,0.501,0.379,3827,846,543,784
